quarter,test_date,variable,metric_value,included,weight_bic,weight_rmse,y_hat
2023Q3,2023-07-14,DA_CONS_CONF_US,2.43487891246539,TRUE,0.000505767124668151,0.0111445770277738,3.36583514494326
2023Q3,2023-07-14,DA_CONS_SENTI_US,2.24954743295585,TRUE,0.0102785720784986,0.0130565374053079,3.6957811409707
2023Q3,2023-07-14,DA_CPI_US,2.20683888204139,TRUE,0.00908694886984632,0.0135667890709998,3.68028116246559
2023Q3,2023-07-14,DA_Credit,2.2853804208761,TRUE,0.0167433526647089,0.0126503144906757,3.75407560057734
2023Q3,2023-07-14,DA_EMPLOY_NONFARM_US,2.3331881597118,TRUE,0.00983025545985539,0.0121372081342329,3.7075523722176
2023Q3,2023-07-14,DA_Fx,2.20402358517703,TRUE,0.00953536922520687,0.0136014701268427,4.62556769583183
2023Q3,2023-07-14,DA_HOUSING_STARTS_US,2.50483884891585,TRUE,0.00924067201165938,0.0105307365102264,4.97889044431022
2023Q3,2023-07-14,DA_HVT,2.2755237415534,TRUE,0.0122051903565656,0.0127601442809386,3.72663387769487
2023Q3,2023-07-14,DA_IC_Br,2.34319470721774,TRUE,0.00996613847551488,0.0120337662634512,3.69262096078479
2023Q3,2023-07-14,DA_IE_S,2.21709569919677,TRUE,0.024347206068656,0.0134415529799472,3.04465614829777
2023Q3,2023-07-14,DA_IE_S_alt,2.27206243544055,TRUE,0.0239780554920501,0.0127990520213116,3.71397057318608
2023Q3,2023-07-14,DA_INCC_DI,2.13635181049095,TRUE,0.0169852652385198,0.0144768068820268,3.73532191603848
2023Q3,2023-07-14,DA_INDF,2.39992497758707,TRUE,0.0122588062156383,0.011471573595695,5.13807179053555
2023Q3,2023-07-14,DA_INDFE,2.47074441122289,TRUE,0.01773032276234,0.0108233744517718,4.62867950430469
2023Q3,2023-07-14,DA_IP,2.26966428167053,TRUE,0.0119658688877831,0.01282611356603,3.61041039048992
2023Q3,2023-07-14,DA_IPCA,3.67886079719673,FALSE,,,-0.294855926132457
2023Q3,2023-07-14,DA_IPCA_EX0,3.50034126614464,FALSE,,,3.6839760061617
2023Q3,2023-07-14,DA_IPCA_EX1,8.94292557511721,FALSE,,,3.205966357681
2023Q3,2023-07-14,DA_IPCA_EX2,2.56745357653112,FALSE,,,3.40399241917605
2023Q3,2023-07-14,DA_IPCA_MA,2.64539410814229,FALSE,,,0.943276581547059
2023Q3,2023-07-14,DA_IPCA_MS,3.02758968562548,FALSE,,,1.25302240514756
2023Q3,2023-07-14,DA_IPCDG,2.32511587023914,TRUE,0.0131121325147715,0.0122216298463727,4.99297845487348
